,,"Number of commercial bank branches per 1,000 km2","Number of credit union and credit cooperative branches per 1,000 km2","Number of all microfinance institution branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of credit union and credit cooperative branches per 100,000 adults","Number of all microfinance institution branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults","Mobile money agent outlets: active per 100,000 adults","Mobile money agent outlets: active per 1,000 km2","Number of registered mobile money agent outlets per 100,000 adults","Number of registered mobile money agent outlets per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 100,000 adults","Number of insurance corporations per 100,000 adults","Branches of other deposit takers per 1,000 km2","Branches of other deposit takers per 100,000 adults","Number of depositors with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) depositors with commercial banks (% of non-financial corporation depositors with commercial banks),"Number of household sector depositors with commercial banks per 1,000 adults","Number of male depositors of the household sector with commercial banks per 1,000 male adults","Number of female depositors of the household sector with commercial banks per 1,000 female adults","Number of depositors with credit unions and credit cooperatives per 1,000 adults","Number of deposit accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) deposit accounts with commercial banks (% of non-financial corporation deposit accounts with commercial banks),"Number of household sector deposit accounts with commercial banks per 1,000 adults","Number of men-owned deposit accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned deposit accounts of the household sector with commercial banks per 1,000 female adults","Number of deposit accounts with credit unions and credit cooperatives per 1,000 adults","Number of borrowers from commercial banks per 1,000 adults",Number of small and medium enterprise (SME) borrowers from commercial banks (% of non-financial corporation borrowers from commercial banks),"Number of household sector borrowers from commercial banks per 1,000 adults","Number of male borrowers of the household sector from commercial banks per 1,000 male adults","Number of female borrowers of the household sector from commercial banks per 1,000 female adults","Number of borrowers from credit unions and credit cooperatives per 1,000 adults","Number of borrowers from all microfinance institutions per 1,000 adults","Number of male borrowers of the household sector from all microfinance institutions per 1,000 male adults","Number of female borrowers of  the household sector from all microfinance institutions per female 1,000 adults","Number of loan accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) loan accounts with commercial banks (% of non-financial corporation loan accounts with commercial banks),"Number of household sector loan accounts with commercial banks per 1,000 adults","Number of men-owned loan accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned loan accounts of the household sector with commercial banks per 1,000 female adults","Number of loan accounts with credit unions and credit cooperatives per 1,000 adults","Number of loan accounts with all microfinance institutions per 1,000 adults","Number of men-owned loan accounts of the household sector with all microfinance institutions per 1,000 male adults","Number of women-owned loan accounts of the household sector with all microfinance institutions per 1,000 female adults",Outstanding deposits with commercial banks (% of GDP),Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP),Outstanding deposits of household sector with commercial banks (% of GDP),Outstanding deposits with credit unions and credit cooperatives (% of GDP),Outstanding loans from commercial banks (% of GDP),Outstanding small and medium enterprise (SME) loans from commercial banks (% of GDP),Outstanding loans from commercial banks to household sector (% of GDP),Outstanding loans from credit unions and credit cooperatives (% of GDP),Outstanding loans from all microfinance institutions (% of GDP),"Number of registered mobile money accounts per 1,000 adults","Number of active mobile money accounts per 1,000 adults",Outstanding balances on active mobile money accounts (% of GDP),"Number of mobile money transactions (during the reference year) per 1,000 adults",Value of mobile money transactions (during the reference year) (% of GDP),"Number of credit cards per 1,000 adults","Number of debit cards per 1,000 adults","Number of mobile and internet banking transactions (during the reference year) per 1,000 adults",Value of mobile and internet banking transactions (during the reference year) (% of GDP),"Number of life insurance policies per 1,000 adults",Policies with insurance corporations: o/w non-life insurance,Average number of mobile money transactions per active mobile money account
,2015,0.22,,,8.84,,,0.83,33.98,67.81,1.65,125.78,3.06,,,1.74,0.28,11.45,664.68,,600.46,703.72,509.41,22.3,822.7,,764.31,852.96,686.15,,264.95,,225.45,281.36,176.15,20.07,,,,314.75,,270.15,335.63,212.41,51.18,,,,31.09,,9.89,0.23,33.07,,19.63,0.24,,862.86,516.86,0.03,"8,318.83",1.81,77.97,501.33,"1,274.65",2.5,902.51,"12,500.00",16.1
,2016,0.23,,,9.08,,,0.84,33.76,68.72,1.71,110.34,2.75,,,1.7,0.28,11.2,636.29,,589.4,681.65,507.93,25.1,911.02,78.85,859.94,969.17,763.46,,184.23,,171.32,212.83,134.66,22.59,,,,219.98,,208.25,269.21,154.43,57.61,,,,26.81,2.94,8.16,0.22,30.09,2.19,18.09,0.23,,"1,014.52",621.94,0.03,"13,020.76",2.4,99.55,643.52,"4,724.58",2.42,609.89,,20.94
,2017,0.21,,,8.37,,,0.9,35.42,60.87,1.55,93.45,2.38,,,1.66,0.25,9.61,696.32,,636.03,691.33,586.99,23.93,923.6,84.07,863.79,867.15,860.73,863.79,174.46,,165.28,194.79,125.94,22.81,,,,223.3,,206.49,207.14,124.1,54.93,,,,25.77,3.72,7.08,0.24,28.89,2.41,18.36,0.25,,"1,225.71",748.09,0.04,"16,002.50",3.15,92.51,673.94,"5,540.44",3.07,,,21.39
,2018,0.24,,,9.29,,,1.17,44.51,73.59,1.93,98.04,2.57,0.02,0.88,1.48,0.26,9.9,750.33,,697.69,695.66,597.85,24,"1,115.25",88.32,"1,045.19","1,131.87",972.5,,193.61,,173.49,205.6,132.31,21.6,,,,247.27,,214.95,225.36,144.88,55.08,,,,27.08,3.58,7.27,0.24,29.28,1.9,18.45,0.27,,"1,474.68",797.76,0.06,"22,230.71",5.18,89.15,783.98,"8,495.63",8.17,,,27.87
,2019,0.25,,,9.37,,,1.21,45.02,116.07,3.12,190.78,5.14,0.01,0.46,1.51,0.24,8.98,777.72,97.42,716.01,761.58,663.91,23.83,"1,173.59",76.07,"1,094.55","1,224.44","1,066.44",,232.83,,212.8,166.95,112.46,21.44,,,,281.61,,248.71,257.18,185.45,54.68,,,,27.68,3.05,7.8,0.24,30.42,1.9,20.25,0.27,,"1,832.39",918.88,0.07,"27,501.35",6.45,62.07,787.08,"38,650.05",73.93,,,29.93
Brazil,2010,3.29,0.61,,18.67,3.47,,20.78,118.06,,,,,20.3,115.34,0.1,0.06,0.32,534.61,,,,,,960.1,,,,,,204.61,,185,,,8.78,,,,651.07,,559.29,,,21.13,,,,44.93,,,0.78,31.76,,,0.78,,,,,,,564.24,530.92,"71,995.96",253.87,,,
,2011,3.43,0.64,,19.19,3.59,,20.8,116.31,,,,,23.86,133.41,0.1,0.06,0.32,617.75,,,,,,"1,003.99",,,,,,234.62,,212.27,,,7.54,,,,829.99,,726.57,,,21.13,,,,44.72,,,0.87,33.83,,,0.87,,,,,,,524.46,568.24,"85,828.27",261.94,,,
,2012,3.71,0.67,,20.41,3.7,,20.95,115.36,,,,,27.55,151.68,0.1,0.05,0.29,643.59,,,,,,"1,072.87",,,,,,369.74,,347.01,,,12.47,,,,"2,050.18",,"1,733.71","1,578.07","1,468.40",52.87,,,,39.56,,,1.35,36.5,,,0.99,,,,,,,511.43,548.35,"102,482.44",367.72,,,
,2013,3.79,0.7,,20.53,3.81,,21.84,118.44,,,,,28.45,154.29,0.1,0.06,0.3,624.48,,,,,,"1,121.54",,,,,,393.92,,369.72,,,13.98,,,,"2,292.83",,"1,925.84","1,672.43","1,582.54",60.66,,,,37.92,,,1.46,38.93,,,1.09,,,,,,,530.2,585.9,"115,103.61",368.53,,,
,2014,3.97,0.74,,21.24,3.94,,22.07,117.93,,,,,23.91,127.77,0.1,0.05,0.29,618.88,,,,,,,,,,,,399.59,,374.62,,,15.12,,,,"2,314.53",,"1,956.19","1,658.15","1,556.87",66.15,,,,34.77,,,1.66,40.46,,,1.19,,,,,,,531.37,643.62,"124,468.02",367.15,,,
,2015,3.96,0.76,,20.85,4.03,,21.82,114.97,,,,,23.14,121.9,0.1,0.05,0.27,586.15,,,,,,,,,,,,403.24,,378.14,,,16.97,,,,"2,274.58",,"1,938.29","1,622.55","1,557.15",75.09,,,,32.48,,,1.99,41.61,,,1.29,,,,,,,536.75,609.17,"124,350.69",362.35,,,
,2016,3.91,0.77,,20.34,3.98,,21.55,112.1,,,,,20.72,107.77,0.1,0.06,0.32,577.14,,,,,,,,,,,,552.59,,525.64,,,21.62,,,,"2,906.05",,"2,595.21","1,967.61","2,090.97",84.9,,,,33.16,,,2.4,39.02,,,1.35,,,,,,,519.77,630.25,"126,162.61",342.05,,,
,2017,3.8,0.82,,19.51,4.21,,21.01,107.87,,,,,21.23,109.02,0.09,0.05,0.25,657.8,,,,,,,,,,,,545.36,,518.59,,,23.66,,,,"2,726.95",,"2,424.83","2,499.12","2,353.30",92.9,,,,33.86,,,2.65,36.56,,,1.47,,,,,,,506.99,664.21,"126,586.96",364.15,,,
,2018,3.74,0.87,,18.98,4.41,,20.65,104.75,,,,,21.43,108.7,0.09,0.05,0.26,665.09,,,,,,,,,,,,549.09,,521.73,548.39,496.15,26.52,,,,"2,733.70",,"2,422.38","2,501.64","2,346.34",103.2,,,,34.81,,,2.91,36.16,,,1.73,,,,,,,623.63,703.94,"132,882.27",376.59,,,
,2019,3.73,0.88,,18.7,4.41,,20.28,101.67,,,,,20.32,101.88,0.09,0.05,0.26,662.73,,,,,,,,,,,,655.77,,619.81,645.63,595.05,34.89,,,,"3,131.28",,"2,808.74","2,890.94","2,730.04",128.68,,,,34.82,,,2.94,36.21,,,2.07,,,,,,,730.36,793.81,"137,686.92",412.66,,,
Brunei Darussalam,2010,12.71,,,23.28,,,44.78,82.01,,,,,,,4.52,1.14,2.09,"1,455.18",37.3,"1,376.96",,,,"1,850.44",33.18,"1,724.30",,,,588.31,56.54,577.13,,,,,,,896.7,46.41,874.1,,,,,,,49.05,,39.82,,29.63,,17.4,,,,,,,,,,,,449.83,"272,315.00",
,2011,12.9,,,23.17,,,44.97,80.77,,,,,,,4.43,1.14,2.04,"1,465.71",38.42,"1,389.76",,,,"1,880.76",33.93,"1,754.02",,,,564.89,51.21,554.99,,,,,,,844.61,40.43,823.3,,,,,,,50.2,,26.75,,21.09,,12.31,,,,,,,,,,,,631.22,"153,494.00",
,2012,12.9,,,22.76,,,52.56,92.69,,,,,,,4.35,1.14,2.01,"1,901.53",35.66,"1,821.75",,,,"2,241.48",33.3,"2,108.88",,,,613.08,46.05,603.71,,,,,,,"1,101.44",37.79,"1,078.92",,,,,,,49.22,,27.74,,21.34,,11.96,,,,,,,,,,,,874.23,"269,602.00",
,2013,13.28,,,23.02,,,47.82,82.86,,,,,,,4.27,1.14,1.97,"1,546.10",47.76,"1,470.67",,,,"2,337.22",38.9,"2,206.74",,,,631.33,59.25,622.24,,,,,,,828.71,43.62,805.12,,,,,,,52.21,,29.23,,24.27,,13.3,,,,,,,,,,,,777.02,"218,296.00",
,2014,11.95,,,20.36,,,48.01,81.75,,,,,,,4.2,1.14,1.94,"1,631.59",43.69,"1,556.87",,,,"1,991.16",37.87,"1,863.77",,,,627.99,57.54,619.01,,,,,,,799.71,40.9,778.61,,,,,,,56.34,,31.14,,25.61,,14.17,,,,,,,,,,,,702.62,"316,370.00",
,2015,12.52,,,20.95,,,47.63,79.69,,,,,,,4.13,1.14,1.9,"1,587.94",42.86,"1,514.22",,,,"2,011.06",30.47,"1,894.11",,,,635.65,51.07,627.9,,,,,,,787.26,35.52,768.34,,,,,,,66.28,,38.18,,33.82,,18.06,,,,,,,,,,,,800.09,"307,746.00",
,2016,11.95,,,19.72,,,46.3,76.36,,,,,,,3.76,1.14,1.88,"1,557.63",41.7,"1,487.76",,,,"1,983.85",33.48,"1,866.28",,,,392.09,57.93,385.48,,,,,,,492.74,41.47,475.63,,,,,,,75.76,,40,,33.9,,20.15,,,,,,,,203.42,907.56,,,660.98,"318,755.00",
,2017,11.39,,,18.48,,,42.88,69.59,,,,,,,3.39,0.76,1.23,"1,509.77",43.61,"1,436.81",,,,"1,910.30",35.08,"1,787.29",,,,405.45,53.93,398.63,,,,,,,542.62,42.07,525.89,,,,,,,70.78,,39.73,,30.31,,18.37,,,,,,,,,,,,701.14,"365,458.00",
,2018,10.82,,,17.26,,,46.68,74.5,,,,,,,3.33,0.76,1.21,"1,505.43",40.44,"1,434.82",,,,"1,946.52",33.31,"1,823.71",,,,345.64,44.48,340.84,,,,,,,490.62,42.13,474.33,,,,,,,67.56,,34.95,,28.91,,16.2,,,,,,,,314.69,"1,382.65",,,709.35,"349,166.00",
,2019,11.2,,,17.6,,,47.06,73.97,,,,,,,3.28,0.57,0.89,"1,597.99",38.35,"1,525.33",,,,"2,075.96",43.58,"1,950.99",,,,334.46,44.08,329.95,,,,,,,472.4,39.67,456.31,,,,,,,70.89,,35.52,,29.08,,16.84,,,,,,,,309.48,"1,673.58",,,956.35,"389,741.00",
Bulgaria,2010,54.15,,,91.9,,,53.36,90.55,,,,,,,1.03,,,,,,,,,"2,009.30",,"1,936.99",,,,,,252.03,,,,,,,431.94,,412.37,,,,,,,53.39,,37.11,,69.16,,25.86,,,,,,,,,,,,,,
,2011,35.08,,,60.02,,,54.85,93.86,,,,,,,1.02,,,,,,,,,"2,054.03",,"1,978.54",,,,,,253.06,,,,,,,418.55,,398.7,,,,,,,55.71,,38.74,,66.02,,23.75,,,,,,,,165.31,978.02,,,,,
,2012,35.59,,,61.36,,,54.02,93.12,,,,,,,1,,,,,,,,,"2,057.85",,"1,979.41",,,,,,259.46,,,,,,,434.2,,413.32,,,,,,,59.67,,42.38,,66.82,,23.08,,,,,,,,161.57,973.36,,,,,
,2013,35,,,60.78,,,53.99,93.74,,,,,,,0.94,,,,,,,,,"1,991.83",,"1,908.28",,,,,,259.04,,,,,,,445.62,,424.52,,,,,,,65.29,,46.44,,67.13,,23.12,,,,,,,,143.89,996.47,,,,,
,2014,34.52,,,60.4,,,51.72,90.48,,,,,,,0.97,,,,,,,,,"1,933.26",,"1,845.63",,,,,,258.76,,,,,,,454.75,,433.11,,,,,,,65.46,,47.14,,60.36,,22.23,,,,,,,,151.14,"1,012.98","9,000.85",445.39,,,
,2015,34.19,,,60.32,,,51.73,91.27,,,,,,,0.94,,,,,,,,,"1,848.04",,"1,756.28",,,,,,259.54,,,,,,,446.92,,425.18,,,,,,,68.26,,47.85,,55.71,,20.58,,,,,,,,153.48,"1,008.55","10,709.97",538.92,,,
,2016,27.29,,,48.52,,,52.98,94.16,,,,,,,0.9,,,,,,,,,"1,804.47",,"1,707.90",,,,,,255.32,,,,,,,448.92,,426.13,,,,,,,68.19,,47.83,,52.74,,19.71,,,,,,,,199.1,"1,028.26","12,122.55",578.39,,,
,2017,28.45,,,51.01,,,52.79,94.67,,,,,,,0.91,,,,,,,,,"1,756.88",,"1,654.29",,,,,,257.89,,,,,,,453.68,,429.14,,,,,,,68.32,,46.79,,50.56,,19.42,,,,,,,,189.91,"1,058.16","14,165.29",458.6,,,
,2018,29.18,,,52.8,,,51.62,93.4,,,,,,,0.88,,,,,,,,,"1,726.07",,"1,625.17",,,,,,276.2,,,,,,,510.95,,486.37,,,,,,,68.14,,47,,50.65,,20.11,,,,,,,,206.61,"1,031.53","14,896.22",430.83,,,
,2019,31.73,,,57.89,,,51.71,94.33,,,,,,,0.87,,,"1,571.84",,"1,466.32",,,,"1,715.47",,"1,613.94",,,,448.44,,423.39,,,,,,,523.86,,498.88,,,,,,,69.24,,46.91,,50.22,,20.32,,,,,,,,208.97,"1,044.77","17,773.01",409.22,,,
Burkina Faso,2010,0.6,,2.02,1.94,,6.6,0.41,1.35,,,,,,,,,,78.64,100,70.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.37,,,,16.71,,,,1.59,,,,,,,,,,,,
,2011,0.67,,1.94,2.11,,6.15,0.7,2.22,,,0.89,0.28,,,,,,90.51,100,78.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.29,,,,18.59,,,,1.43,8.15,,,,,,,,,,,
,2012,0.71,,1.95,2.16,,5.97,0.75,2.31,,,29.87,9.76,,,,,,105.43,100,95.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.37,,,,19.59,,,,1.26,15.06,,,,,,,,,,,
,2013,0.79,,2.39,2.34,,7.1,0.9,2.65,,,5.23,1.77,,,,,,112.24,100,100.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.48,,,,24.18,,,,1.57,89.79,83.3,,"1,495.30",1.42,,,,,,,17.95
,2014,0.97,,2.55,2.78,,7.31,1.12,3.21,38.67,13.48,60.68,21.15,,,,,,126.51,,114.81,,,,,,,,,,,,,,,,16.22,,,,,,,,,16.22,,,29.76,,,,28.17,,,,1.77,130.27,28.79,,"3,601.89",5.67,,,,,,,125.13
,2015,1.05,,2.59,2.91,,7.18,1.25,3.46,111.96,40.34,164.52,59.27,,,0.16,,,141.17,,125.1,,,,,,,,,,,,,,,,16.4,,,,,,,,,16.4,,,34.44,,,,29.54,,,,1.85,223.86,75.04,,"5,463.61",17.51,,,,,,,72.81
,2016,1.07,,2.59,2.89,,6.95,1.37,3.69,115.82,43.11,124.47,46.33,,,0.16,,,161.25,,148,,,,,,,,,,,,,,,,12.69,,,,,,,,,12.69,,,36.15,,,,29.35,,,,1.76,405.19,153.79,0.68,"13,488.95",31.78,,,,,,,87.71
,2017,1.1,,2.73,2.86,,7.09,1.53,3.97,337.77,129.89,411.45,158.23,,,,,,174.16,,158.12,,,,,,,,,,,,,,,,15.19,,,,,,,,,15.19,,,40.07,,,,31.58,,,,1.89,662.05,344.83,,"33,417.80",47.81,,,,,,,96.91
,2018,1.13,,2.76,2.83,,6.94,1.58,3.96,507.13,201.55,628.88,249.93,,,,,,178.35,,168.09,,,,,,,,,,,,,,,,14.49,,,,,,,,,14.49,,,39.11,,,,32.01,,,,2.02,881.23,530.81,,"45,627.71",51.92,,,,,,,85.96
,2019,1.26,,2.54,3.08,,6.17,1.79,4.36,735.64,302.27,"1,080.32",443.9,,,,,,181.79,,162.58,,,,,,,,,,,,,,,,15.58,,,,,,,,,15.58,,,42.02,,,,34.92,,,,2.07,"1,049.25",656.22,,"50,651.67",60.1,,,,,,,77.19
Burundi,2010,4.32,5.65,0.78,2.33,3.05,0.42,0.97,0.53,,,,,,,0.11,3.5,1.89,30.42,59.79,27.55,,,75.27,33.59,64.16,30.53,,,85.76,5.38,27.64,4.39,,,16.37,7.09,,,6.61,34.58,5.66,,,16.91,8.62,,,20.91,4.77,13.2,1.74,16.1,6.81,8.77,1.44,0.33,,,,,,,,,,,,
,2011,4.87,5.84,0.86,2.54,3.05,0.45,1.36,0.71,,,,,,,0.12,3.89,2.04,34.49,59,31.36,,,81.13,35.95,65.2,32.72,,,92.02,5.97,32.63,4.84,,,16.12,7.71,,,7.21,38.33,6.21,,,17.21,9.1,,,19.52,4.63,11.57,2.02,19.1,7.35,11.4,1.7,0.43,,,,,,,,,,,,
,2012,5.45,5.84,0.9,2.77,2.96,0.45,1.95,0.99,,,,,,,0.12,4.48,2.27,36.36,71.56,33.59,,,88.66,42.29,73.35,38.5,,,100.28,10.59,81.09,9.94,,,21.2,6.77,,,12.13,80.92,11.28,,,21.2,8.19,,,18.84,4.22,11,1.97,18.24,7.3,10.94,1.61,0.36,,,,,,,,,,,,
,2013,6.66,6.15,0.9,3.28,3.03,0.44,3.15,1.55,,,,,,,0.12,5.33,2.63,28.78,47.15,25.26,,,93.46,34.68,57.15,30.19,,,99.58,12.46,41.03,10.82,,,19.93,6.52,,,12.5,72.98,11.55,,,19.93,6.61,,,18.83,4.85,9.91,1.85,17.14,8.09,8.09,1.81,0.39,,,,,,,,,,,,
,2014,6.7,6.58,1.4,3.2,3.15,0.67,3.15,1.51,,,,,,,0.11,5.57,2.66,33.07,66.28,29.32,,,98.84,37.56,56.67,32.8,,,141.09,12.75,54.18,11.38,,,23.66,8.61,,,14.11,59.29,12.78,,,25.53,9.63,,,19.55,4.4,8.85,2.17,17.04,8.42,7.56,2.12,0.43,,,,,,,,,,,,
,2015,6.97,6.66,1.56,3.23,3.09,0.72,3.08,1.43,,,,,,,0.11,5.57,2.58,33.07,78.2,28.52,,,105.91,40.07,73.96,34.2,,,124.56,14.72,70.69,14.11,,,23.38,3.71,,,15.38,82.39,14.72,,,27.63,3.78,,,16.64,5.46,7.03,2.02,13.93,6.94,6.84,2.02,0.32,,,,,,,,,,,,
,2016,7.17,7.59,1.83,3.22,3.42,0.82,3.15,1.42,,,,,,,0.11,5.57,2.5,,,,,,119.7,,,,,,130.22,,,,,,26.33,3.85,,,,,,,,,3.85,,,17.2,6.41,7.22,2.23,14.05,0.64,7.68,2.57,0.35,,,,,,,,,,,,
Cabo Verde,2010,25.81,,,31.19,,,34.99,42.28,,,,,,,0.6,,,"1,457.40",,"1,404.20","1,783.44","1,444.54",,,,,,,,124.2,,,205.61,158.83,,,,,,,,,,,,,,73.43,,,,62.84,,,,,,,,,,23.33,498.42,"5,505.57",3.87,,,
,2011,25.81,,,30.47,,,37.47,44.24,,,,,,,0.59,,,"1,554.48",,"1,475.10","1,842.66","1,521.83",,,,,,,,129.77,,,208.58,160.39,,,,,,,,,,,,,,69.09,,,,65.68,,,,,,,,,,20.43,554.86,"6,760.72",11.3,,,
,2012,29.53,,,34.15,,,40.2,46.49,,,,,,,0.57,,,"1,643.62",,"1,510.16","1,867.60","1,566.15",,,,,,,,109.24,,,188.68,146.59,,,,,,,,,,,,,,76.19,,,,64.41,,,,,,,,,,45.01,468.73,"10,224.26",3.91,,,
,2013,30.02,,,34.09,,,40.45,45.92,,,,,,,0.56,,,"1,704.86",,"1,535.42","1,837.52","1,641.29",,,,,,,,105.48,,,167.36,131.99,,,,,,,,,,,,,,83.15,,,,64.45,,,,,,,,,,45.71,477.27,"21,299.74",6.75,,,
,2014,30.27,,,33.77,,,42.43,47.33,,,,,,,0.55,,,"1,770.82",,"1,641.59","1,875.73","1,612.89",,,,,,,,154.13,,,245.69,197.78,,,,,,,,,,,,,,88.43,,,,63.98,,,,,,,,,,42.68,492.3,"36,542.50",7.23,,,
,2015,30.77,,,33.73,,,41.94,45.97,,,,,,,0.54,,,"1,856.74",,"1,755.30","1,984.30","1,724.31",,,,,,,,181.16,,,212.33,159.26,,,,,,,,,,,,,,91.34,,,,64.24,,,,,,,,,,40.69,512.96,"35,236.90",6.35,,,
,2016,31.02,,,33.42,,,42.43,45.72,,,,,,,0.53,,,"1,847.23",,"1,810.28","2,152.35","1,868.07",,,,,,,,183.63,,,225.43,167.9,,,,,,,,,,,,,,95.16,,,,63.44,,,,,,,,,,33.62,536.4,"35,913.98",6.84,,,
,2017,29.53,,,31.26,,,44.42,47.03,,,,,,,0.53,,,"2,054.49",,"2,022.33","2,105.16","1,820.33",,,,,,,,179.19,,,189.77,170.67,,,,,,,,,,,,,,97.49,,,,64.46,,,,,,,,,,36.1,588.35,"36,135.86",21.02,,,
,2018,31.27,,,32.53,,,47.39,49.32,,,,,,,0.52,,,"2,122.36",,"2,047.57","2,310.84","2,002.30",,,,,,,,193.69,,,207.49,154.77,,,,,,,,,,,,,,93.5,,,,62.41,,,,,,,,,,38.33,636.77,"42,947.35",18.63,,,
,2019,31.27,,,32,,,50.87,52.07,,,,,,,0.51,,,"2,173.18",,"2,381.56","2,424.13","2,056.47",,,,,,,,208.36,,,337.64,231.47,,,,,,,,,,,,,,95.51,,,,61.32,,,,,,,,,,28.53,659.39,"76,757.78",20.63,,,
Cambodia,2010,2.23,,,4.12,,,2.84,5.25,7.23,3.91,7.23,3.91,,,0.07,,,,,,,,,113.05,,,,,,,,,,,,,,,29.73,,,,,,,,,34.56,,,,26.75,,,,,13.91,8.01,0.01,98.79,0.08,,,,,,"48,023.00",12.34
,2011,2.36,,10.77,4.28,,19.49,3.33,6.03,8.54,4.72,8.54,4.72,,,0.07,,,,,,,,,129.83,,,,,,,,,,,,,,,30.2,,,,,,,,,38.04,,,,32.01,,,,4.98,17.48,7.1,0.01,340.01,0.4,,,,,,"59,588.00",47.9
,2012,2.54,,12.54,4.49,,22.18,4.06,7.18,8.18,4.62,8.18,4.62,,,0.1,,,,,,,,,149.21,,,,,,,,,,,,,,,35.44,,,,,,,,,43.62,,,,40.74,,,,6.24,20.95,6.29,0.02,354,2.01,,,,,0.04,"67,899.00",56.32
,2013,2.76,,11.91,4.77,,20.62,4.9,8.48,9.08,5.25,9.08,5.25,,,0.1,,,,,,,,,173.02,,,,,,,,,,,,,,,37.74,,,,,,,,,45.91,,,,42.28,,,,8.58,26.38,7.1,0.02,"1,368.89",14.18,,,,,0.66,"64,700.00",192.92
,2014,3.36,,15.49,5.69,,26.25,6.44,10.92,21.68,12.79,21.68,12.79,,,0.1,,,,,,,,,216.87,100,210.2,255.14,169.1,,,,,,,,,,,42.15,100,41.64,43.58,39.86,,,,,54.3,,,,52.8,,,,12.19,33.67,10.79,0.04,"3,832.04",41.75,3,124.51,,,2.55,"69,566.00",355.15
,2015,3.68,,21.93,6.12,,36.46,8.02,13.34,34.18,20.56,34.18,20.56,,,0.1,,,,,,,,,249.63,,240.64,290.91,194.62,,,,,,,,,,,48.28,53.99,47.06,51.23,43.25,,,,,58.05,,,,61.66,,,,16.52,41.74,13.9,0.04,"5,814.63",67.83,3.75,135.63,,,4.58,"80,650.00",418.24
,2016,4.44,,23.52,7.24,,38.38,8.88,14.49,168.5,103.26,168.5,103.26,,,0.11,,,,,,,,,279.74,100,269.22,325.91,217.28,,,,,,,,,,,63.67,100,62.94,67.85,58.45,,,,,68.55,,,,67.43,,,,15.58,60.46,60.46,,"3,331.70",118.08,4.41,143.11,,,,,55.11
,2017,4.69,,7.6,7.52,,12.19,10.42,16.72,209.7,130.71,209.7,130.71,,,0.11,,,,,,,,,316.41,100,304.78,361.18,253.09,,,,,,,,,,,62.61,100,61.95,66.76,57.54,,,,,77.56,,,,72.14,,,,19.19,212.49,212.49,,"9,137.33",75.41,5.14,164.81,,,,,43
,2018,4.96,,8.07,7.84,,12.74,12.32,19.45,309.62,196.09,309.62,196.09,,,0.11,,,,,,,,,376.39,,360.4,419.17,306.56,,,,,,,,,,,64.04,100,63.4,68.6,58.63,,,,,89.07,,,,80.12,,,,21.91,285.09,285.09,,"12,945.41",90.52,6.36,194.31,,,,,45.41
,2019,5.34,,8.23,8.3,,12.79,14.98,23.28,362.3,233.15,362.3,233.15,,,,,,,,,,,,425.9,100,412.91,471.86,358.9,,,,,,,,,,,66.03,100,65.4,72.05,59.31,,,,,94.12,,,,90.63,,,,26.69,459.43,182.57,,"16,884.15",131.33,5.58,233.25,,,,,92.48
Cameroon,2010,0.41,2.45,,1.69,10.13,,0.44,1.8,0.17,0.04,0.17,0.04,,,0.22,0.02,0.1,53.41,,,,,,71.67,3.77,31.03,,,,11.32,58.17,9.93,,,,,,,18.63,16.58,13.09,,,,,,,14.47,,8.68,,12.03,,3.38,,,4.7,3.67,0,1.83,0,,,,,28.51,"130,252.00",0.5
,2011,0.43,,,1.73,,,0.58,2.34,1.31,0.33,1.31,0.33,,,0.21,0.02,0.09,49.84,79.3,46.53,,,,74.64,16.21,56.8,,,,17.96,77.48,16,,,,,,,31.26,53.29,28.01,,,,,,,15.13,,8.48,,13.57,,3.52,,,15.41,8.19,0,10.83,0.03,,,,,29.52,"168,285.00",1.32
,2012,0.47,,,1.83,,,0.66,2.58,1.63,0.42,4.03,1.03,,,0.21,0.02,0.09,52.69,79.21,49.16,,,,79.57,16.84,61.56,,,,21.02,86.37,18.96,,,,,,,35.18,53.48,31.45,,,,,,,13.38,,8.27,,13.47,,3.99,,,51.32,39.19,0,111.19,0.05,,,,,25.43,"366,918.00",2.84
,2013,0.52,,,1.96,,,0.83,3.16,15.37,4.06,54.85,14.48,,,0.2,0.02,0.09,59.73,87.91,55.5,,,,82.97,86.32,77.54,,,,22.24,87.69,19.89,,,,,,,41.43,44.98,36.76,,,,,,,14.24,,8.2,,14.17,,3.84,,,152.58,115.71,0,80.77,0.09,,,,,31,"1,203,456.00",0.7
